StockCode,avg_daily_sales,on_hand_units,on_order_units,lead_time_days,reorder_point
10002,38.53777777777778,616,18,17,655
10002R,1.3333333333333333,38,86,14,18
10080,12.115384615384615,290,33,7,84
10109,4.0,80,12,7,28
10120,10.375,176,42,5,51
10123C,11.607142857142858,185,61,9,104
10123G,150.06666666666666,4201,92,19,2851
10124A,3.2222222222222223,64,99,8,25
10124G,3.3,66,21,6,19
10125,16.95967741935484,220,51,13,220
10133,20.409574468085108,346,51,7,142
10134,13.88888888888889,166,35,19,263
10135,18.535087719298247,203,72,12,222
10138,14.5,304,18,10,145
11001,25.151041666666668,377,37,18,452
15030,9.76923076923077,107,69,17,166
15034,50.51243781094527,505,78,9,454
15036,102.24480369515011,2147,56,5,511
15039,22.97747747747748,482,19,8,183
15044A,26.264550264550266,682,8,7,183
15044B,11.133333333333333,211,31,5,55
15044C,5.342541436464089,133,3,16,85
15044D,8.817679558011049,211,49,19,167
15056BL,22.2576112412178,534,81,9,200
15056N,23.76,665,4,10,237
15056P,9.736220472440944,204,19,6,58
15056bl,1.8709677419354838,54,86,19,35
15056n,2.582089552238806,30,74,18,46
15056p,1.393939393939394,19,36,7,9
15058A,4.407407407407407,123,21,15,66
15058B,3.8761061946902653,62,57,18,69
15058C,4.653465346534653,83,67,19,88
15059A,169.66666666666666,2714,92,10,1696
15060B,4.859106529209622,131,43,8,38
15060b,1.0,13,33,13,13
16008,44.23943661971831,1017,76,9,398
16010,8.0,216,41,8,64
16011,36.304761904761904,653,8,6,217
16012,39.73972602739726,437,94,10,397
16014,337.41379310344826,9785,6,14,4723
16015,26.2,628,67,6,157
16016,23.612244897959183,377,18,16,377
16020C,4.705882352941177,98,93,17,80
16033,328.7173913043478,5588,30,11,3615
16043,165.0,3960,34,7,1155
16044,2064.3333333333335,24772,56,13,26836
16045,150.19354838709677,3454,84,15,2252
16046,182.83636363636364,4753,60,9,1645
16047,379.0,4927,30,12,4548
16048,39.32954545454545,1061,82,15,589
16049,113.17857142857143,1924,94,10,1131
16050,21.571428571428573,280,52,18,388
16051,235.25,2587,31,16,3764
16052,25.696969696969695,385,65,14,359
16053,431.3,8194,58,12,5175
16054,34.57142857142857,449,9,17,587
16119,45.5,1228,1,17,773
16151A,10.4,218,65,15,156
16156L,27.941176470588236,307,59,16,447
16156N,31.382978723404257,596,87,7,219
16156S,58.87279151943463,765,16,7,412
16161C,225.0,5175,95,9,2025
16161E,107.14285714285714,2678,15,15,1607
16161G,30.46875,731,15,14,426
16161M,28.37837837837838,482,45,7,198
16161P,46.63604240282685,1072,38,12,559
16161U,41.429752066115704,704,30,14,580
16162L,324.04,8101,87,17,5508
16162M,7.333333333333333,161,0,16,117
16168M,18.9438202247191,511,10,18,340
16168S,142.55555555555554,3421,84,12,1710
16169A,25.0,550,3,6,150
16169C,42.1875,759,70,16,675
16169D,50.0,1200,25,8,400
16169E,54.975903614457835,1209,49,14,769
16169F,37.5,375,11,17,637
16169G,25.0,400,94,5,125
16169K,39.90384615384615,718,80,8,319
16169M,38.148148148148145,381,96,16,610
16169N,41.326530612244895,867,74,17,702
16169P,38.04347826086956,646,91,17,646
16192,3.0,60,95,15,45
16201A,14.428571428571429,404,64,17,245
16201B,8.5,221,46,8,68
16202A,31.523809523809526,535,91,14,441
16202B,47.22727272727273,566,52,13,613
16202C,8.083333333333334,97,70,19,153
16202E,5.857142857142857,58,1,7,41
16206B,6.4,89,23,19,121
16207A,2.1343283582089554,40,3,6,12
16207B,8.833333333333334,141,18,13,114
16212,10.457142857142857,188,25,13,135
16215,8.0,128,74,5,40
16216,54.0,972,39,10,540
16218,55.107142857142854,936,49,14,771
16219,31.373831775700936,658,42,12,376
16225,11.968503937007874,131,74,7,83
16235,26.486363636363638,264,66,15,397
16236,13.461928934010153,336,11,13,175
16237,30.816023738872403,431,66,6,184
16238,13.519337016574585,162,26,10,135
16239,21.6875,455,53,5,108
16243B,35.333333333333336,600,65,17,600
16244A,7.75,93,48,11,85
16244B,13.26923076923077,132,15,7,92
16245A,1.8333333333333333,22,1,11,20
16248B,7.363636363636363,103,59,8,58
16254,29.40625,705,53,13,382
16256B,15.411764705882353,354,29,9,138
16256C,16.9,202,83,7,118
16258A,12.218390804597702,122,37,19,232
16258B,101.6,1422,27,12,1219
16259,107.31372549019608,2468,24,10,1073
17001,57.666666666666664,922,95,6,346
17003,233.78405315614617,4208,9,7,1636
17007B,5.666666666666667,136,59,12,68
17011A,21.75,522,41,19,413
17011B,9.5,180,39,14,133
17011C,167.5,3685,96,11,1842
17011D,52.25,1463,76,14,731
17011E,124.0,1984,41,10,1240
17011F,19.25,500,46,18,346
17012A,8.853658536585366,256,36,5,44
17012B,6.554545454545455,85,79,13,85
17012C,9.010526315789473,126,21,7,63
17012D,5.531914893617022,88,56,18,99
17012E,10.52,231,83,9,94
17012F,6.894117647058824,165,26,11,75
17013B,85.33333333333333,1706,40,19,1621
17013C,106.5,1384,79,11,1171
17013D,34.45161290322581,757,33,7,241
17013F,12.4,198,31,19,235
17014A,18.4,515,89,8,147
17014C,48.5,533,88,14,679
17014D,59.875,1137,65,11,658
17014E,15.833333333333334,348,11,12,190
17014F,15.25,228,39,6,91
17021,53.142857142857146,1116,72,13,690
17027A,114.0,2394,75,11,1254
17028J,6.0,174,89,17,102
17033,58.57142857142857,1171,72,12,702
17038,46.527272727272724,744,9,10,465
17039,95.05128205128206,950,95,10,950
17061,52.0,520,97,13,676
17084A,24.555555555555557,712,47,8,196
17084G,25.0,550,19,15,375
17084J,22.8,410,38,15,342
17084N,17.743589743589745,212,59,9,159
17084P,15.714285714285714,251,65,13,204
17084R,166.015625,2490,64,5,830
17090A,6.653846153846154,113,50,8,53
17090D,3.142857142857143,56,35,11,34
17091A,21.49484536082474,300,23,15,322
17091B,6.133333333333334,61,26,19,116
17091F,2.7142857142857144,76,1,13,35
17091J,27.52777777777778,523,30,19,523
17096,91.76470588235294,1927,56,18,1651
17107D,4.144736842105263,99,77,17,70
17108D,16.136363636363637,290,65,15,242
17109A,54.53846153846154,1581,28,16,872
17109B,302.8,7872,14,17,5147
17109C,260.3333333333333,6768,11,14,3644
17109D,34.916666666666664,1012,27,10,349
17129C,7.818181818181818,164,83,16,125
17129D,37.5,600,23,12,450
17129F,11.969696969696969,131,20,17,203
17136A,22.515151515151516,270,9,13,292
17164B,24.17910447761194,628,77,14,338
17164D,50.0,700,17,8,400
17165B,17.23404255319149,448,87,5,86
17165D,10.529411764705882,273,13,18,189
17174,6.0,156,33,12,72
17178,5.782608695652174,63,57,6,34
17181,7.51063829787234,82,75,15,112
17191A,2.75,38,21,5,13
18007,183.80645161290323,1838,69,17,3124
18010,8.0,80,35,11,88
18094C,5.154761904761905,144,44,16,82
18096C,6.882352941176471,75,35,14,96
18096c,2.6666666666666665,56,21,13,34
18097A,1.5454545454545454,23,77,15,23
18097B,2.3333333333333335,30,79,19,44
18097C,10.882716049382717,217,60,16,174
18098A,1.0,26,99,16,16
18098B,1.0,15,55,13,13
18098C,7.069364161849711,98,88,7,49
18098c,6.488888888888889,188,95,10,64
20615,4.423611111111111,48,32,11,48
20616,2.8585858585858586,42,44,18,51
20617,5.242105263157895,104,35,14,73
20618,2.5384615384615383,63,19,13,33
20619,3.6815286624203822,92,17,19,69
20620,1.3636363636363635,13,37,6,8
20621,6.67741935483871,120,66,12,80
20622,5.388888888888889,80,22,18,97
20652,11.572519083969466,289,95,11,127
20653,28.62857142857143,343,15,8,229
20654,3.7196261682242993,107,58,6,22
20655,2.7972972972972974,36,68,12,33
20657,19.757894736842104,553,67,15,296
20658,6.6,79,20,9,59
20659,3.3545454545454545,93,77,10,33
20660,3.736842105263158,108,94,18,67
20661,8.017857142857142,128,77,15,120
20662,16.177777777777777,469,69,11,177
20663,26.85,483,11,19,510
20664,1.9,19,15,19,36
20665,5.318725099601593,90,80,14,74
20666,21.69047619047619,347,86,5,108
20667,1.6666666666666667,45,13,12,20
20668,102.70098039215686,1745,60,8,821
20669,4.502824858757062,45,70,17,76
20670,15.772727272727273,315,45,13,205
20671,6.390243902439025,172,31,5,31
20672,4.6,87,14,15,69
20673,2.5,30,43,6,15
20674,10.33939393939394,165,16,18,186
20675,16.122194513715712,403,40,10,161
20676,22.006302521008404,550,53,15,330
20677,18.421800947867297,534,43,14,257
20678,4.0,104,97,15,60
20679,15.971428571428572,175,4,18,287
20680,1.5,15,26,5,7
20681,6.78743961352657,169,86,8,54
20682,8.790830945558739,184,77,12,105
20683,1.0,14,78,19,19
20684,4.055944055944056,56,42,14,56
20685,18.25186567164179,328,96,9,164
20686,3.831168831168831,68,30,17,65
20688,46.4,556,98,13,603
20689,12.617647058823529,353,16,15,189
20692,9.869565217391305,246,91,15,148
20693,2.0625,51,82,10,20
20694,3.608695652173913,43,53,5,18
20695,3.227272727272727,93,61,10,32
20696,2.6491228070175437,26,86,10,26
20697,2.0,58,31,17,34
20698,2.35,47,39,10,23
20699,4.027397260273973,104,12,12,48
20700,5.384615384615385,91,83,19,102
20701,10.382352941176471,134,34,10,103
20702,4.159574468085107,62,4,9,37
20703,3.623076923076923,61,72,19,68
20704,5.640625,163,28,15,84
20705,5.46,65,69,6,32
20707,10.753333333333334,268,24,8,86
20711,27.725877192982455,332,94,18,499
20712,35.850202429149796,967,21,19,681
20713,46.98419864559819,1080,65,14,657
20714,112.85714285714286,3047,44,9,1015
20715,400.0,4400,68,14,5600
20716,8.286486486486487,99,90,8,66
20717,14.574074074074074,364,88,6,87
20718,26.080078125,469,71,11,286
20719,45.75514018691589,594,0,14,640
20721,1.0,10,83,14,14
20723,35.04980842911878,455,43,6,210
20724,56.88515901060071,568,86,5,284
20725,67.87373737373737,1561,95,18,1221
20726,38.80350877192983,970,74,9,349
20727,46.075993091537136,1336,38,16,737
20728,43.0,731,53,17,731
20729,73.08333333333333,1169,87,5,365
20730,36.36065573770492,436,74,5,181
20731,61.82089552238806,1607,28,19,1174
20733,9.53960396039604,95,53,5,47
20734,15.607843137254902,390,89,10,156
20735,9.967105263157896,209,15,13,129
20736,20.714285714285715,580,98,14,290
20737,1.0,23,19,17,17
20738,25.555555555555557,383,45,15,383
20739,1.0,15,66,16,16
20747,10.507692307692308,231,64,5,52
20748,12.5,350,57,9,112
20749,7.46829268292683,126,52,19,141
20750,8.232142857142858,90,0,13,107
20751,9.04140127388535,90,80,18,162
20752,6.0728744939271255,145,65,13,78
20753,10.380952380952381,103,28,5,51
20754,12.274698795180722,171,83,12,147
20755,53.04123711340206,1326,69,5,265
20756,114.56,3207,7,19,2176
20757,83.546875,1086,28,12,1002
20758,72.33333333333333,868,50,5,361
20759,115.54,3004,32,16,1848
20760,88.0952380952381,2290,2,9,792
20761,3.578125,75,59,12,42
20762,4.017543859649122,92,34,10,40
20763,4.107692307692307,61,68,13,53
20764,4.691780821917808,56,90,5,23
20765,3.7457627118644066,67,75,13,48
20766,4.211382113821138,58,83,5,21
20767,5.205128205128205,135,19,14,72
20768,6.235772357723577,143,72,14,87
20769,6.3478260869565215,76,38,7,44
20770,6.490683229813665,64,3,5,32
20771,5.224137931034483,151,18,7,36
20772,7.698412698412699,76,90,16,123
20773,34.422680412371136,413,44,15,516
20774,36.291666666666664,979,42,17,616
20775,40.044444444444444,760,12,6,240
20776,57.1578947368421,685,12,6,342
20777,27.938931297709924,474,59,13,363
20778,48.14666666666667,1107,56,12,577
20780,3.1216216216216215,84,85,5,15
20781,1.8070175438596492,43,91,16,28
20782,2.3484848484848486,25,51,18,42
20783,4.125,78,52,8,33
20784,2.9705882352941178,32,85,17,50
20785,3.090909090909091,80,42,5,15
20786,3.413793103448276,58,82,5,17
20787,2.6538461538461537,26,71,16,42
20791,5.0,90,71,16,80
20793,12.772727272727273,255,41,8,102
20794,4.416666666666667,110,89,6,26
20795,4.821428571428571,77,25,7,33
20796,4.5,85,22,15,67
20798,7.25,87,42,13,94
20799,8.0,216,76,6,48
20800,201.0,4422,27,8,1608
20801,13.317073170731707,213,8,5,66
20802,10.20388349514563,132,19,6,61
20803,15.527027027027026,341,55,9,139
20804,10.15625,294,82,18,182
20812,1.6666666666666667,16,38,14,23
20814,18.9,321,50,19,359
20816,4.0,92,11,5,20
20818,3.107142857142857,77,78,15,46
20819,4.071428571428571,93,94,11,44
20820,1.375,28,54,8,11
20821,1.68,47,77,10,16
20822,2.0,48,10,12,24
20823,14.882352941176471,163,25,17,253
20825,60.166666666666664,661,41,10,601
20826,25.357142857142858,710,26,18,456
20827,21.625,562,10,6,129
20828,12.084699453551913,350,37,5,60
20829,15.205047318611987,288,97,12,182
20830,5.5,82,42,12,66
20831,6.493150684931507,155,18,13,84
20832,13.448,268,63,10,134
20833,10.4,145,5,16,166
20835,8.0,80,45,5,40
20836,10.666666666666666,181,41,18,192
20837,10.3125,216,91,13,134
20838,8.10909090909091,170,64,16,129
20839,6.956043956043956,97,98,17,118
20840,11.493506493506494,183,71,19,218
20845,3.3043478260869565,42,58,18,59
20846,10.762962962962963,161,51,7,75
20847,3.076923076923077,67,46,15,46
20848,3.25,94,6,10,32
20849,32.095238095238095,770,10,14,449
20850,39.04761904761905,468,60,17,663
20851,11.964285714285714,203,67,14,167
20854,4.793478260869565,139,24,19,91
20855,3.227272727272727,80,11,15,48
20856,3.8857142857142857,85,25,16,62
20857,3.661764705882353,98,11,18,65
20858,4.0,76,42,19,76
20860,1.8181818181818181,50,50,13,23
20861,2.875,74,36,15,43
20862,10.483870967741936,293,45,17,178
20863,6.369565217391305,89,52,7,44
20864,9.333333333333334,168,87,9,84
20865,8.366666666666667,175,79,17,142
20866,9.481481481481481,94,12,18,170
20867,9.547826086956523,95,88,9,85
20868,15.206896551724139,364,53,14,212
20869,11.25531914893617,123,56,11,123
20870,4.833333333333333,120,3,8,38
20871,16.11392405063291,273,74,15,241
20877,2.4,52,95,8,19
20878,13.4,134,48,11,147
20879,7.125,178,6,13,92
20881,1.5,24,10,19,28
20882,1.5,21,91,15,22
20884,1.0,12,53,8,8
20885,1.0,21,86,8,8
20886,7.692640692640692,192,44,10,76
20887,3.6,100,22,10,36
20888,21.58823529411765,302,27,11,237
20889,59.72727272727273,1373,56,19,1134
20890,151.25,2117,25,5,756
20891,228.0,5472,24,17,3876
20892,2.8333333333333335,73,53,15,42
20893,7.763888888888889,178,28,18,139
20894,3.7083333333333335,107,82,7,25
20895,4.0,56,96,13,52
20896,2.7857142857142856,58,35,10,27
20897,5.4,135,13,10,54
20898,6.8125,170,77,9,61
20899,4.0,64,34,15,60
20901,1.5964912280701755,20,29,7,11
20902,2.080808080808081,20,91,15,31
20903,2.493333333333333,34,16,9,22
20905,2.5,47,66,18,45
20906,2.8055555555555554,39,79,5,14
20910,2.3043478260869565,29,29,7,16
20913,15.7,172,92,8,125
20914,32.92768959435626,954,44,9,296
20931,5.2578125,99,78,14,73
20932,4.44,124,88,13,57
20933,11.222222222222221,112,50,8,89
20934,3.126984126984127,43,46,7,21
20935,6.976744186046512,153,52,14,97
20936,4.757142857142857,61,63,5,23
20939,12.0,300,37,17,204
20940,11.8,295,63,14,165
20941,10.288659793814434,113,86,10,102
20942,2.0,52,88,11,22
20943,8.466666666666667,245,6,14,118
20950,10.904761904761905,229,21,19,207
20952,14.954545454545455,403,80,12,179
20953,3.6666666666666665,44,81,16,58
20954,1.5,15,40,5,7
20956,13.834319526627219,138,73,16,221
20957,8.4,235,9,8,67
20958,3.8,76,56,15,57
20960,12.666666666666666,177,6,9,114
20961,11.387096774193548,239,49,6,68
20963,11.415841584158416,136,90,5,57
20964,3.3333333333333335,33,51,12,40
20966,12.795744680851064,127,32,10,127
20967,5.672043010752688,96,0,9,51
20968,3.3076923076923075,62,52,17,56
20969,9.409883720930232,188,59,13,122
20970,7.661538461538462,160,33,17,130
20971,47.061310782241016,1035,3,15,705
20972,40.10958904109589,842,16,17,681
20973,33.320945945945944,766,3,15,499
20974,31.776442307692307,349,42,6,190
20975,46.289002557544755,1296,89,14,648
20976,8.318181818181818,224,3,16,133
20977,12.514851485148515,150,0,12,150
20978,12.475757575757576,324,70,15,187
20979,20.44110275689223,347,93,18,367
20980,4.39622641509434,83,49,14,61
20981,14.606811145510836,160,72,17,248
20982,14.972222222222221,419,60,13,194
20983,16.972972972972972,305,34,5,84
20984,36.440993788819874,583,7,11,400
20985,10.871559633027523,141,23,12,130
20986,7.902597402597403,213,82,7,55
20987,14.555555555555555,320,35,18,262
20988,3.0,60,49,8,24
20989,10.435897435897436,135,42,17,177
20990,12.094594594594595,157,26,7,84
20991,308.0,5852,31,11,3388
20992,22.44890510948905,314,77,13,291
20993,421.8076923076923,7592,17,7,2952
20994,4.7,56,27,17,79
20996,27.67982456140351,719,28,10,276
20997,2.328767123287671,27,15,12,27
20998,2.8672566371681416,71,98,10,28
21000,8.214285714285714,106,46,6,49
21001,1.8076923076923077,48,58,17,30
21002,3.0437956204379564,79,30,11,33
21003,2.056603773584906,32,3,6,12
21004,2.283333333333333,31,36,6,13
21007,58.39393939393939,1226,16,6,350
21008,1.0,26,38,15,15
21009,19.036363636363635,418,47,19,361
21010,15.178571428571429,182,45,5,75
21011,25.205479452054796,453,89,18,453
21012,10.834905660377359,281,47,15,162
21014,15.163934426229508,394,38,5,75
21015,14.655172413793103,425,3,18,263
21016,15.735849056603774,393,29,11,173
21017,11.362068965517242,249,29,19,215
