StockCode,description,list_price,category,subcategory,unit_cost
10002,INFLATABLE POLITICAL GLOBE ,0.9791553133514985,General,Retail,0.685408719346049
10002R,ROBOT PENCIL SHARPNER,5.133333333333333,General,Retail,3.593333333333333
10080,GROOVY CACTUS INFLATABLE,0.505,General,Retail,0.3535
10109,BENDY COLOUR PENCILS,0.42,General,Retail,0.294
10120,DOGGY RUBBER,0.24013698630136987,General,Retail,0.1680958904109589
10123C,HEARTS WRAPPING TAPE ,0.7906349206349207,General,Retail,0.5534444444444444
10123G,ARMY CAMO WRAPPING TAPE,0.8205882352941177,General,Retail,0.5744117647058824
10124A,SPOTS ON RED BOOKCOVER TAPE,0.42,General,Retail,0.294
10124G,ARMY CAMO BOOKCOVER TAPE,0.462,General,Retail,0.3234
10125,MINI FUNKY DESIGN TAPES,0.930635838150289,General,Retail,0.6514450867052023
10133,COLOURING PENCILS BROWN TUBE,0.7457093425605537,General,Retail,0.5219965397923876
10134,COLOURING PENCILS BROWN TUBE,1.2907407407407407,General,Retail,0.9035185185185185
10135,COLOURING PENCILS BROWN TUBE,1.3985626911314983,General,Retail,0.9789938837920488
10138,ASSORTED COLOUR JUMBO PEN,0.4776190476190476,General,Retail,0.3343333333333333
11001,ASSTD DESIGN RACING CAR PEN,1.8730078125,General,Retail,1.31110546875
15030,FAN BLACK FRAME ,0.29,General,Retail,0.20299999999999999
15034,PAPER POCKET TRAVELING FAN ,0.357265625,General,Retail,0.25008593749999997
15036,ASSORTED COLOURS SILK FAN,0.9932560483870967,General,Retail,0.6952792338709677
15039,SANDALWOOD FAN,1.1448376623376624,General,Retail,0.8013863636363636
15044A,PINK PAPER PARASOL ,3.5974,General,Retail,2.5181799999999996
15044B,BLUE PAPER PARASOL ,3.5482539682539684,General,Retail,2.4837777777777776
15044C,PURPLE PAPER PARASOL,3.820387931034483,General,Retail,2.674271551724138
15044D,RED PAPER PARASOL,3.438471615720524,General,Retail,2.406930131004367
15056BL,EDWARDIAN PARASOL BLACK,6.25234752589183,General,Retail,4.376643268124281
15056N,EDWARDIAN PARASOL NATURAL,6.818394230769231,General,Retail,4.772875961538461
15056P,EDWARDIAN PARASOL PINK,6.234869565217392,General,Retail,4.364408695652174
15056bl,EDWARDIAN PARASOL BLACK,12.562068965517243,General,Retail,8.793448275862069
15056n,EDWARDIAN PARASOL NATURAL,12.549655172413793,General,Retail,8.784758620689654
15056p,EDWARDIAN PARASOL PINK,12.569473684210527,General,Retail,8.798631578947369
15058A,BLUE WHITE SPOTS GARDEN PARASOL,8.550536912751678,General,Retail,5.985375838926174
15058B,PINK WHITE SPOTS GARDEN PARASOL,9.684999999999999,General,Retail,6.779499999999999
15058C,ICE CREAM DESIGN GARDEN PARASOL,9.667049180327869,General,Retail,6.766934426229508
15059A,ENGLISH ROSE EDWARDIAN PARASOL,10.5,General,Retail,7.35
15060B,FAIRY CAKE DESIGN UMBRELLA,5.541804008908686,General,Retail,3.87926280623608
15060b,FAIRY CAKE DESIGN UMBRELLA,8.362,General,Retail,5.8534
